id,label
1,0.840935
2,0.999637
3,0.996469
4,0.983990
5,0.000950
6,0.866929
7,0.007272
8,0.250735
9,0.010030
10,0.022844
11,0.000088
12,0.937452
13,0.005651
14,0.006736
15,0.042098
16,0.009205
17,0.141481
18,0.064859
19,0.555753
20,0.000582
21,0.999924
22,0.001060
23,0.887175
24,0.999744
25,0.021625
26,0.044305
27,0.530904
28,0.002967
29,0.946519
30,0.998588
31,0.999869
32,0.074200
33,0.993297
34,0.011596
35,0.004897
36,0.012159
37,0.040540
38,0.059951
39,0.943105
40,0.008173
41,0.841790
42,0.999319
43,0.996691
44,0.535907
45,0.131332
46,0.265278
47,0.102904
48,0.821786
49,0.999998
50,0.305410
51,0.122339
52,0.033218
53,0.207157
54,0.000057
55,0.121276
56,0.871378
57,0.995217
58,0.034508
59,0.992665
60,0.416836
61,0.565986
62,0.935188
63,0.077585
64,0.686234
65,0.999327
66,0.987121
67,0.990975
68,0.011140
69,0.987450
70,0.739056
71,0.137598
72,0.955045
73,0.999998
74,0.999737
75,0.515584
76,0.147426
77,0.801333
78,0.303771
79,0.356103
80,0.003123
81,0.088443
82,0.104714
83,0.999574
84,0.000613
85,0.999849
86,0.955631
87,0.895494
88,0.960592
89,0.040427
90,0.993677
91,0.019755
92,0.993769
93,0.003401
94,0.993014
95,0.925205
96,0.098840
97,0.183079
98,0.948776
99,0.120658
100,0.103868
101,0.088840
102,0.993538
103,0.009797
104,0.005041
105,0.367700
106,0.975704
107,0.060049
108,0.985118
109,0.038601
110,0.999962
111,0.319802
112,0.737238
113,0.999956
114,0.339831
115,0.388968
116,0.003369
117,0.001667
118,0.795828
119,0.474892
120,0.141476
121,0.997904
122,0.174740
123,0.911602
124,0.011618
125,0.005045
126,0.007037
127,0.672979
128,0.249838
129,0.202157
130,0.184358
131,0.999788
132,0.667571
133,0.000877
134,0.583737
135,0.002125
136,0.050978
137,0.756640
138,0.000102
139,0.944435
140,0.108731
141,0.003642
142,0.000211
143,1.000000
144,0.262088
145,0.085931
146,0.986671
147,0.286091
148,0.019705
149,0.001391
150,0.071403
151,0.922640
152,0.430139
153,0.000707
154,0.000003
155,0.655774
156,0.575559
157,0.049708
158,0.992034
159,0.944207
160,0.600312
161,0.516857
162,0.026400
163,0.009048
164,0.754274
165,0.631037
166,0.000822
167,0.945177
168,0.000195
169,0.655506
170,0.631788
171,0.622870
172,0.876904
173,0.002946
174,0.000045
175,0.999996
176,0.999977
177,0.243887
178,0.999892
179,0.232541
180,0.473854
181,0.998922
182,0.999846
183,0.781910
184,0.402007
185,0.102215
186,0.004446
187,0.000104
188,0.000272
189,0.002169
190,0.187542
191,0.004933
